step,backprop,PC T=1,PC T=2,PC T=4,PC T=8,PC T=32
0,4.22047,4.22047,4.22047,4.22047,4.22047,4.22047
15,2.96263,3.11323,3.08548,2.96264,2.96263,2.96263
30,2.78419,3.04398,3.03017,2.78420,2.78419,2.78419
45,2.58606,3.00381,2.99448,2.58611,2.58607,2.58606
60,2.31020,2.95022,2.93243,2.31033,2.31022,2.31020
75,1.91903,2.88942,2.85968,1.91944,1.91908,1.91903
90,1.34086,2.84781,2.80447,1.34182,1.34098,1.34086
105,0.75852,2.75917,2.69467,0.75964,0.75866,0.75852
120,0.38773,2.68493,2.59718,0.38831,0.38780,0.38773
135,0.18045,2.53297,2.35740,0.18073,0.18049,0.18045
150,0.10810,2.41426,2.17312,0.10786,0.10807,0.10810
165,0.05851,2.35322,2.02992,0.05848,0.05851,0.05851
180,0.04104,2.25420,1.89309,0.04108,0.04105,0.04104
195,0.05139,2.21758,1.84954,0.05149,0.05142,0.05139
210,0.04681,2.09494,1.63308,0.04679,0.04680,0.04681
225,0.03471,2.01828,1.52874,0.03460,0.03469,0.03471
240,0.03510,1.95463,1.43629,0.03508,0.03510,0.03510
255,0.02837,1.98162,1.39093,0.02835,0.02837,0.02837
270,0.02804,1.83187,1.23107,0.02804,0.02804,0.02804
285,0.02811,1.78131,1.16568,0.02791,0.02809,0.02811
299,0.01543,1.71088,1.07339,0.01538,0.01542,0.01543
