step,backprop,PC exact feedback,PC random feedback
0,3.99188,3.99188,3.99188
20,2.88727,2.88727,2.98069
40,2.60470,2.60470,2.78376
60,2.23753,2.23753,2.52735
80,1.63745,1.63746,2.11176
100,0.91006,0.91007,1.51772
120,0.42457,0.42458,0.98554
140,0.19564,0.19564,0.70252
160,0.11802,0.11802,0.49452
180,0.05985,0.05985,0.36087
200,0.04594,0.04594,0.21796
220,0.04378,0.04378,0.17914
240,0.04977,0.04977,0.15878
260,0.05279,0.05279,0.10373
280,0.05438,0.05438,0.11451
300,0.03002,0.03002,0.07352
320,0.02313,0.02313,0.07392
340,0.03287,0.03287,0.07547
360,0.03654,0.03654,0.06689
380,0.02829,0.02829,0.04375
399,0.02418,0.02418,0.05716
