N,L,delta_fixed_budget,delta_full_relax,budget
4,1,-2.158766992326693e-17,-2.158766992326693e-17,4
16,1,-1.850371707708594e-17,-1.850371707708594e-17,4
64,1,9.251858538542972e-18,9.251858538542972e-18,4
4,2,-2.6213599192538418e-17,-4.625929269271485e-18,4
16,2,-7.709882115452476e-18,-1.1555579666323415e-33,4
64,2,-2.6213599192538418e-17,-1.541976423090495e-17,4
4,4,2.0856773098722035e-14,2.0381844360410167e-14,4
16,4,9.953457811049147e-14,9.632032825655933e-14,4
64,4,5.079639024222852e-11,4.947192192942632e-11,4
4,8,0.375000000000025,5.78279708069513e-15,4
16,8,0.37500000000086825,3.152281676429188e-13,4
64,8,0.37500002511414954,1.2032775175557786e-08,4
