step,bp_loss,pc_loss,bp_acc,pc_acc
0,3.4800889925424916,3.4800889925424916,0.01953125,0.01953125
20,3.0271278958467644,3.027127895846764,0.19921875,0.19921875
40,2.860776987684087,2.860776987684087,0.2109375,0.2109375
60,2.411174676974571,2.4111746769745714,0.25,0.25
80,1.4525976245802712,1.4525976245802694,0.55859375,0.55859375
100,0.6039680214264291,0.6039680214264269,0.853515625,0.853515625
120,0.23223120096026278,0.23223120096026031,0.955078125,0.955078125
140,0.10348243110329995,0.10348243110329922,0.986328125,0.986328125
160,0.08094257696821441,0.08094257696821457,0.984375,0.984375
180,0.04952582305827533,0.04952582305827566,0.9921875,0.9921875
200,0.037983990583304456,0.03798399058330522,0.98828125,0.98828125
220,0.04114828508050651,0.041148285080508516,0.986328125,0.986328125
240,0.04417521714812114,0.044175217148120824,0.9921875,0.9921875
260,0.05448405716171886,0.054484057161720646,0.98046875,0.98046875
280,0.05300596679729041,0.053005966797289895,0.982421875,0.982421875
300,0.03378260464845354,0.03378260464845516,0.986328125,0.986328125
320,0.02640333543918025,0.026403335439180067,0.98828125,0.98828125
340,0.03486689225980548,0.03486689225980523,0.984375,0.984375
360,0.03530709311811667,0.03530709311811729,0.984375,0.984375
380,0.028750126195181462,0.028750126195181334,0.990234375,0.990234375
400,0.022832535415920695,0.022832535415920754,0.990234375,0.990234375
420,0.026203402060820113,0.026203402060821158,0.990234375,0.990234375
440,0.027344801618870047,0.02734480161887143,0.990234375,0.990234375
460,0.019517288090786396,0.019517288090786733,0.98828125,0.98828125
480,0.027756350783630458,0.02775635078363108,0.98828125,0.98828125
500,0.025775014582988115,0.025775014582988576,0.990234375,0.990234375
520,0.02944584743289126,0.02944584743289237,0.984375,0.984375
540,0.026481204292023976,0.02648120429202375,0.98828125,0.98828125
560,0.03185246006574391,0.031852460065745075,0.98828125,0.98828125
580,0.046621772214922544,0.04662177221491945,0.982421875,0.982421875
599,0.026286746749866138,0.026286746749867147,0.986328125,0.986328125
